indicator,API_UserName,obs_date,OpDiv,indicator_key,observations,curr_date
104.18.32.191,74198686107399967946,2024-02-25,VA,104.18.32.191_VA,40,2024-02-25
104.18.32.68,13520457953477229971,2024-02-25,HHS,104.18.32.68_HHS,1,2024-02-25
104.21.2.24,74198686107399967946,2024-02-25,VA,104.21.2.24_VA,1,2024-02-25
104.248.208.221,74198686107399967946,2024-02-25,VA,104.248.208.221_VA,28,2024-02-25
104.37.135.145,64853912235916233429,2024-02-25,OS,104.37.135.145_OS,2,2024-02-25
135.125.78.187,64853912235916233429,2024-02-25,OS,135.125.78.187_OS,2,2024-02-25
141.98.10.151,13983566077459384977,2024-02-25,FDA,141.98.10.151_FDA,36,2024-02-25
141.98.10.151,35664937356778434955,2024-02-25,HRSA,141.98.10.151_HRSA,4,2024-02-25
142.4.218.114,15920309593055310684,2024-02-25,CMS,142.4.218.114_CMS,5,2024-02-25
142.4.218.114,13983566077459384977,2024-02-25,FDA,142.4.218.114_FDA,25,2024-02-25
142.4.218.114,64853912235916233429,2024-02-25,OS,142.4.218.114_OS,2,2024-02-25
146.70.45.166,64853912235916233429,2024-02-25,OS,146.70.45.166_OS,8,2024-02-25
146.70.45.166,74198686107399967946,2024-02-25,VA,146.70.45.166_VA,36,2024-02-25
146.70.45.182,64853912235916233429,2024-02-25,OS,146.70.45.182_OS,4,2024-02-25
146.70.45.221,74198686107399967946,2024-02-25,VA,146.70.45.221_VA,6,2024-02-25
154.6.12.53,13520457953477229971,2024-02-25,HHS,154.6.12.53_HHS,2,2024-02-25
154.6.12.53,74198686107399967946,2024-02-25,VA,154.6.12.53_VA,6,2024-02-25
162.241.216.236,74198686107399967946,2024-02-25,VA,162.241.216.236_VA,2,2024-02-25
164.92.80.197,15920309593055310684,2024-02-25,CMS,164.92.80.197_CMS,4,2024-02-25
164.92.80.197,13983566077459384977,2024-02-25,FDA,164.92.80.197_FDA,15,2024-02-25
164.92.80.197,64853912235916233429,2024-02-25,OS,164.92.80.197_OS,4,2024-02-25
164.92.80.197,74198686107399967946,2024-02-25,VA,164.92.80.197_VA,9,2024-02-25
165.22.160.179,15920309593055310684,2024-02-25,CMS,165.22.160.179_CMS,865,2024-02-25
165.22.160.179,13983566077459384977,2024-02-25,FDA,165.22.160.179_FDA,1703,2024-02-25
165.22.160.179,13520457953477229971,2024-02-25,HHS,165.22.160.179_HHS,6,2024-02-25
165.22.160.179,35664937356778434955,2024-02-25,HRSA,165.22.160.179_HRSA,118,2024-02-25
165.22.160.179,64853912235916233429,2024-02-25,OS,165.22.160.179_OS,1119,2024-02-25
171.25.193.20,13983566077459384977,2024-02-25,FDA,171.25.193.20_FDA,2,2024-02-25
171.25.193.20,64853912235916233429,2024-02-25,OS,171.25.193.20_OS,3,2024-02-25
171.25.193.20,74198686107399967946,2024-02-25,VA,171.25.193.20_VA,6,2024-02-25
171.25.193.25,15920309593055310684,2024-02-25,CMS,171.25.193.25_CMS,4,2024-02-25
171.25.193.25,35664937356778434955,2024-02-25,HRSA,171.25.193.25_HRSA,1,2024-02-25
171.25.193.25,64853912235916233429,2024-02-25,OS,171.25.193.25_OS,2,2024-02-25
171.25.193.77,15920309593055310684,2024-02-25,CMS,171.25.193.77_CMS,7,2024-02-25
171.25.193.77,13983566077459384977,2024-02-25,FDA,171.25.193.77_FDA,16,2024-02-25
171.25.193.77,64853912235916233429,2024-02-25,OS,171.25.193.77_OS,10,2024-02-25
171.25.193.77,74198686107399967946,2024-02-25,VA,171.25.193.77_VA,33,2024-02-25
172.98.33.195,64853912235916233429,2024-02-25,OS,172.98.33.195_OS,2,2024-02-25
172.98.33.195,74198686107399967946,2024-02-25,VA,172.98.33.195_VA,27,2024-02-25
184.170.248.5,74198686107399967946,2024-02-25,VA,184.170.248.5_VA,10,2024-02-25
185.129.62.62,15920309593055310684,2024-02-25,CMS,185.129.62.62_CMS,56,2024-02-25
185.129.62.62,13983566077459384977,2024-02-25,FDA,185.129.62.62_FDA,76,2024-02-25
185.129.62.62,35664937356778434955,2024-02-25,HRSA,185.129.62.62_HRSA,10,2024-02-25
185.129.62.62,64853912235916233429,2024-02-25,OS,185.129.62.62_OS,170,2024-02-25
185.202.220.239,64853912235916233429,2024-02-25,OS,185.202.220.239_OS,2,2024-02-25
185.202.220.239,74198686107399967946,2024-02-25,VA,185.202.220.239_VA,7,2024-02-25
185.202.220.65,64853912235916233429,2024-02-25,OS,185.202.220.65_OS,4,2024-02-25
185.220.101.182,15920309593055310684,2024-02-25,CMS,185.220.101.182_CMS,49,2024-02-25
185.220.101.182,13983566077459384977,2024-02-25,FDA,185.220.101.182_FDA,66,2024-02-25
185.220.101.182,35664937356778434955,2024-02-25,HRSA,185.220.101.182_HRSA,7,2024-02-25
185.220.101.182,64853912235916233429,2024-02-25,OS,185.220.101.182_OS,57,2024-02-25
185.230.63.171,00818860012482918321,2024-02-25,CDC,185.230.63.171_CDC,3,2024-02-25
185.230.63.171,13520457953477229971,2024-02-25,HHS,185.230.63.171_HHS,37,2024-02-25
185.34.33.2,15920309593055310684,2024-02-25,CMS,185.34.33.2_CMS,7,2024-02-25
185.34.33.2,13983566077459384977,2024-02-25,FDA,185.34.33.2_FDA,2,2024-02-25
185.34.33.2,64853912235916233429,2024-02-25,OS,185.34.33.2_OS,8,2024-02-25
191.96.227.102,13520457953477229971,2024-02-25,HHS,191.96.227.102_HHS,1,2024-02-25
192.241.239.16,15920309593055310684,2024-02-25,CMS,192.241.239.16_CMS,6,2024-02-25
192.241.239.16,13983566077459384977,2024-02-25,FDA,192.241.239.16_FDA,100171,2024-02-25
